Gene	lnL_Null	lnL_Alt	LRT	SocOrigin	Class	Gene_Desc	pvalue	adj_pvalue
LOC100379261	-6101.949822	-6101.949822	0	AllComplex	NonCanon	 uncharacterized LOC100379261 	1	1
LOC100576099	-2090.362995	-2089.883876	0.958238	AllComplex	NonCanon	 carbohydrate sulfotransferase 11-like 	0.327631212016362	1
LOC100576186	-7576.978601	-7576.978601	0	AllComplex	NonCanon	 alanine--glyoxylate aminotransferase 2, mitochondrial 	1	1
LOC100576195	-1535.645907	-1535.645907	0	AllComplex	NonCanon	 protein ccsmst1 	1	1
LOC100576337	-3432.109563	-3430.84308	2.53297	AllComplex	NonCanon	 deleted in autism protein 1 homolog 	0.111490189860557	1
LOC100576383	-6944.525128	-6944.525128	0	AllComplex	NonCanon	 mannosyl-oligosaccharide 1,2-alpha-mannosidase IA 	1	1
LOC100576411	-9062.545118	-9062.523791	0.042654	AllComplex	NonCanon	 uncharacterized LOC100576411 	0.836378145099973	1
LOC100576527	-8835.198927	-8835.198927	0	AllComplex	Canon	 cyclic AMP-dependent transcription factor ATF-2 	1	1
LOC100576646	-3361.554338	-3361.554338	0	AllComplex	NonCanon	 dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial 	1	1
LOC100576649	-8759.901436	-8759.901436	0	AllComplex	NonCanon	 mismatch repair endonuclease PMS2 	1	1
LOC100576742	-15597.800526	-15597.800526	0	AllComplex	Canon	 integrin beta-nu 	1	1
LOC100576795	-3887.284917	-3887.284917	0	AllComplex	NonCanon	 uncharacterized protein YJR142W 	1	1
LOC100576801	-3752.271768	-3752.271768	0	AllComplex	NonCanon	 malate dehydrogenase, cytoplasmic 	1	1
LOC100576818	-4872.523346	-4867.79594	9.45481	AllComplex	NonCanon	 dolichyl-phosphate beta-glucosyltransferase 	0.00210596106633231	1
LOC100576819	-7680.56348	-7680.56348	0	AllComplex	Canon	 putative inactive caspase B 	1	1
LOC100576826	-3583.49209	-3583.49209	0	AllComplex	NonCanon	 LHFPL tetraspan subfamily member 5 protein 	1	1
LOC100576862	-6293.424137	-6293.424137	0	AllComplex	NonCanon	 speckle targeted PIP5K1A-regulated poly(A) polymerase 	1	1
LOC100577002	-8135.158212	-8135.158212	0	AllComplex	NonCanon	 multiple inositol polyphosphate phosphatase 1 	1	1
LOC100577019	-486.706501	-486.706501	0	AllComplex	NonCanon	 protein quiver 	1	1
LOC100577050	-8148.679904	-8148.679904	0	AllComplex	NonCanon	 uncharacterized LOC100577050 	1	1
LOC100577053	-9028.233067	-9028.233067	0	AllComplex	NonCanon	 glycine dehydrogenase (decarboxylating), mitochondrial 	1	1
LOC100577136	-5982.232286	-5981.774621	0.91533	AllComplex	NonCanon	 diphthine methyltransferase 	0.338704156849938	1
LOC100577140	-8774.584201	-8774.584201	0	AllComplex	NonCanon	 UDP-glucuronosyltransferase 2B19 	1	1
LOC100577174	-18794.339924	-18794.339924	0	AllComplex	NonCanon	 ras-responsive element-binding protein 1 	1	1
LOC100577401	-16688.172039	-16688.139626	0.064826	AllComplex	NonCanon	 putative uncharacterized protein DDB_G0282133 	0.799024717213833	1
LOC100577423	-5057.57475	-5057.57475	0	AllComplex	NonCanon	 methyltransferase-like protein 4 	1	1
LOC100577481	-7684.613734	-7684.613734	0	AllComplex	NonCanon	 protein arginine N-methyltransferase 9 	1	1
LOC100577493	-9550.576525	-9550.576525	0	AllComplex	NonCanon	 transmembrane and TPR repeat-containing protein 4 	1	1
LOC100577687	-7341.675581	-7341.675581	0	AllComplex	NonCanon	 nucleoporin-like protein 2 	1	1
LOC100577690	-2328.028177	-2328.028177	0	AllComplex	Canon	 fas-associated death domain protein 	1	1
LOC100577763	-37588.879755	-37588.879755	0	AllComplex	NonCanon	 small subunit processome component 20 homolog 	1	1
LOC100577764	-1764.959431	-1764.959431	0	AllComplex	Canon	 ras-related protein Rab-5C 	1	1
LOC100577841	-4300.056184	-4300.056184	0	AllComplex	NonCanon	 carbonic anhydrase 7 	1	1
LOC100577870	-1455.706144	-1455.706144	0	AllComplex	NonCanon	 ras-related protein Rab-35 	1	1
LOC100577972	-67388.441487	-67388.441487	0	AllComplex	NonCanon	 uncharacterized LOC100577972 	1	1
LOC100578030	-5499.818884	-5498.178421	3.28093	AllComplex	Canon	 antitrypsin 	0.0700892023881838	1
LOC100578035	-3697.346076	-3697.346076	0	AllComplex	NonCanon	 sphingolipid delta(4)-desaturase DES1 	1	1
LOC100578071	-27442.78634	-27442.78634	0	AllComplex	NonCanon	 DNA polymerase zeta catalytic subunit 	1	1
LOC100578156	-4121.009158	-4121.009158	0	AllComplex	Canon	 uncharacterized LOC100578156 	1	1
LOC100578168	-2228.421622	-2228.421622	0	AllComplex	NonCanon	 glycoprotein 3-alpha-L-fucosyltransferase A 	1	1
LOC100578209	-4743.268746	-4743.268746	0	AllComplex	NonCanon	 BTB/POZ domain-containing protein 6-B 	1	1
LOC100578215	-6352.918769	-6352.667577	0.502384	AllComplex	NonCanon	 N-acetylgalactosaminyltransferase 6 	0.478454482093626	1
LOC100578235	-1915.440429	-1915.440429	0	AllComplex	NonCanon	 DNA-directed RNA polymerase I subunit RPA12 	1	1
LOC100578255	-23326.083873	-23326.082383	0.00298	AllComplex	NonCanon	 ras GTPase-activating-like protein IQGAP1 	0.956465602658691	1
LOC100578277	-1115.865449	-1115.865449	0	AllComplex	NonCanon	 U11/U12 small nuclear ribonucleoprotein 25 kDa protein 	1	1
LOC100578329	-9289.105263	-9289.105263	0	AllComplex	NonCanon	 fatty acyl-CoA reductase wat 	1	1
LOC100578356	-19589.608289	-19589.608289	0	AllComplex	Canon	 apoptotic protease-activating factor 1-like 	1	1
LOC100578380	-2961.267347	-2961.188923	0.156848	AllComplex	NonCanon	 tRNA (guanine-N(7)-)-methyltransferase 	0.692075223363594	1
LOC100578433	-22941.982895	-22941.902118	0.161554	AllComplex	NonCanon	 transmembrane protein 131 	0.68772979841072	1
LOC100578450	-11515.520921	-11515.510621	0.0206	AllComplex	NonCanon	 histone-lysine N-methyltransferase SETD2 	0.885873988332165	1
LOC100578537	-11218.200315	-11218.14335	0.11393	AllComplex	Canon	 UV radiation resistance-associated gene protein 	0.735713494173881	1
LOC100578560	-1646.785001	-1646.460583	0.648836	AllComplex	NonCanon	 28S ribosomal protein S18c, mitochondrial 	0.420529147540661	1
LOC100578586	-10979.590465	-10979.590465	0	AllComplex	NonCanon	 mediator of RNA polymerase II transcription subunit 15 	1	1
LOC100578697	-2798.850758	-2798.850758	0	AllComplex	NonCanon	 THUMP domain-containing protein 1 homolog 	1	1
LOC100578725	-1116.622606	-1114.130648	4.98392	AllComplex	NonCanon	 uncharacterized LOC100578725 	0.0255839498741986	1
LOC100578875	-4994.388249	-4994.388249	0	AllComplex	NonCanon	 beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase 	1	1
LOC100578893	-11042.041003	-11039.702782	4.67644	AllComplex	NonCanon	 uncharacterized LOC100578893 	0.0305790562570587	1
LOC102653793	-5578.389268	-5578.389268	0	AllComplex	NonCanon	 succinate--hydroxymethylglutarate CoA-transferase 	1	1
LOC102653879	-4442.242682	-4440.996211	2.49294	AllComplex	NonCanon	 homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein 	0.114357921564141	1
LOC102653930	-1474.719293	-1474.719293	0	AllComplex	NonCanon	 DNA-directed RNA polymerase III subunit RPC10 	1	1
LOC102654014	-3590.84986	-3590.84986	0	AllComplex	NonCanon	 hemK methyltransferase family member 2 	1	1
LOC102654146	-4552.888701	-4552.888701	0	AllComplex	NonCanon	 antifreeze protein Maxi 	1	1
LOC102654165	-4681.381779	-4681.041212	0.681134	AllComplex	NonCanon	 transmembrane protein 132C 	0.409196508643222	1
LOC102654312	-5273.342855	-5273.342855	0	AllComplex	NonCanon	 KRR1 small subunit processome component homolog 	1	1
LOC102654349	-956.025074	-956.025074	0	AllComplex	NonCanon	 DNA mismatch repair protein MutL-like 	1	1
LOC102654365	-8187.606195	-8187.606195	0	AllComplex	NonCanon	 glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial 	1	1
LOC102654610	-3848.906563	-3848.906563	0	AllComplex	NonCanon	 putative hydroxypyruvate isomerase 	1	1
LOC102654621	-6698.12461	-6698.12461	0	AllComplex	NonCanon	 sarcoplasmic reticulum histidine-rich calcium-binding protein 	1	1
LOC102654987	-2045.897096	-2045.897096	0	AllComplex	NonCanon	 ras-related protein Rab-1A 	1	1
LOC102655219	-4877.439668	-4877.439668	0	AllComplex	NonCanon	 GPI mannosyltransferase 2 	1	1
LOC102655259	-9876.26522	-9876.154147	0.222146	AllComplex	NonCanon	 5-methylcytosine rRNA methyltransferase NSUN4 	0.637409616499326	1
LOC102655470	-543.713593	-542.360866	2.70545	AllComplex	NonCanon	 transmembrane inner ear expressed protein 	0.100005859947808	1
LOC102655679	-3346.032804	-3346.032804	0	AllComplex	NonCanon	 DNA-directed RNA polymerase III subunit RPC7-like 	1	1
LOC102655688	-7852.556088	-7852.553791	0.004594	AllComplex	NonCanon	 putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase 	0.945961518843913	1
LOC102655836	-6360.364034	-6360.364034	0	AllComplex	NonCanon	 tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 	1	1
LOC102655877	-4940.923392	-4940.923392	0	AllComplex	NonCanon	 beta-1,3-galactosyltransferase 6 	1	1
LOC102655904	-1674.853537	-1674.853537	0	AllComplex	NonCanon	 DNA-directed RNA polymerases I, II, and III subunit RPABC3 	1	1
LOC102655948	-4157.324219	-4157.261465	0.125508	AllComplex	NonCanon	 phosphatidylinositol N-acetylglucosaminyltransferase subunit C 	0.723135736937774	1
LOC102656183	-1841.289383	-1841.289383	0	AllComplex	NonCanon	 histidine triad nucleotide-binding protein 1 	1	1
LOC102656263	-2862.010085	-2862.010085	0	AllComplex	NonCanon	 protein farnesyltransferase subunit beta 	1	1
LOC102656287	-1668.398938	-1668.398938	0	AllComplex	NonCanon	 transmembrane protein 216 	1	1
LOC107963993	-5522.246788	-5522.246788	0	AllComplex	NonCanon	 palmitoleoyl-protein carboxylesterase NOTUM 	1	1
LOC107964089	-2767.731901	-2767.731901	0	AllComplex	NonCanon	 aquaporin-11 	1	1
LOC107964507	-1436.120688	-1436.120688	0	AllComplex	NonCanon	 acyl-coenzyme A thioesterase 13 	1	1
LOC107965021	-1487.237742	-1482.166835	10.1418	AllComplex	NonCanon	 phosphatidate cytidylyltransferase, mitochondrial 	0.00144944559218136	1
LOC107965199	-9218.866694	-9218.818482	0.096424	AllComplex	NonCanon	 UDP-glucuronosyltransferase 1-1 	0.756163925031876	1
LOC107965225	-2525.49456	-2525.49456	0	AllComplex	NonCanon	 ribulose-phosphate 3-epimerase 	1	1
LOC107965250	-5524.355092	-5523.688748	1.33269	AllComplex	NonCanon	 7SK snRNA methylphosphate capping enzyme 	0.24832722726343	1
LOC107965266	-6706.550375	-6706.499454	0.101842	AllComplex	NonCanon	 glycoprotein 3-alpha-L-fucosyltransferase A 	0.74963026026603	1
LOC107965508	-3970.650156	-3970.650156	0	AllComplex	NonCanon	 tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 	1	1
LOC107965749	-5549.28825	-5549.28825	0	AllComplex	NonCanon	 acyl-CoA Delta(11) desaturase-like 	1	1
LOC107965828	-3755.991905	-3755.991905	0	AllComplex	NonCanon	 cholesterol 7-desaturase 	1	1
LOC113218534	-4983.127161	-4983.117639	0.019044	AllComplex	NonCanon	 GDP-fucose protein O-fucosyltransferase 2 	0.890240417547458	1
LOC113218670	-2779.881102	-2779.881102	0	AllComplex	NonCanon	 cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 	1	1
LOC406097	-8164.525383	-8164.346515	0.357736	AllComplex	Canon	 integrin beta-PS 	0.549766299539949	1
LOC406114	-9789.129596	-9789.129596	0	AllComplex	NonCanon	 alpha-amylase 	1	1
LOC408271	-6687.314514	-6686.813903	1.00122	AllComplex	NonCanon	 rap1 GTPase-activating protein 1 	0.317015483543847	1
LOC408286	-12229.744621	-12229.744621	0	AllComplex	NonCanon	 2-oxoglutarate dehydrogenase, mitochondrial 	1	1
LOC408303	-5194.287425	-5194.287425	0	AllComplex	NonCanon	 protein lifeguard 1 	1	1
LOC408312	-7840.908772	-7840.061229	1.69509	AllComplex	NonCanon	 tyrosine-protein kinase transmembrane receptor Ror2 	0.192931351914139	1
LOC408355	-5881.906681	-5881.906681	0	AllComplex	NonCanon	 endoribonuclease LACTB2 	1	1
LOC408358	-19066.804727	-19066.804554	0.000346	AllComplex	Canon	 RB1-inducible coiled-coil protein 1 	0.985159345069512	1
LOC408369	-3168.884564	-3168.881226	0.006676	AllComplex	NonCanon	 putative glutathione-specific gamma-glutamylcyclotransferase 2 	0.934879876500386	1
LOC408391	-4453.430912	-4453.430107	0.00161	AllComplex	Canon	 AP-1 complex subunit mu-1 	0.96799362595691	1
LOC408402	-7155.044633	-7155.044633	0	AllComplex	NonCanon	 acetyl-coenzyme A transporter 1 	1	1
LOC408421	-9024.326899	-9024.326899	0	AllComplex	NonCanon	 uncharacterized LOC408421 	1	1
LOC408426	-3244.667872	-3244.667872	0	AllComplex	Canon	 lysosomal thioesterase PPT2 homolog 	1	1
LOC408434	-5854.178057	-5854.123605	0.108904	AllComplex	NonCanon	 EGF domain-specific O-linked N-acetylglucosamine transferase 	0.741395382763183	1
LOC408438	-14420.761018	-14420.698962	0.124112	AllComplex	Canon	 insulin receptor substrate 1-B 	0.724616789573493	1
LOC408458	-13000.420751	-13000.420751	0	AllComplex	NonCanon	 mediator of RNA polymerase II transcription subunit 24 	1	1
LOC408461	-3731.20775	-3731.20775	0	AllComplex	NonCanon	 uridine 5'-monophosphate synthase 	1	1
LOC408474	-9902.422139	-9902.422139	0	AllComplex	NonCanon	 apyrase 	1	1
LOC408501	-15066.166758	-15066.166758	0	AllComplex	Canon	 serine/threonine-protein kinase/endoribonuclease IRE1 	1	1
LOC408511	-3716.945103	-3715.237341	3.41552	AllComplex	NonCanon	 protein preli-like 	0.0645860625258361	1
LOC408520	-3355.177375	-3352.705725	4.9433	AllComplex	NonCanon	 upstream activation factor subunit spp27 	0.0261919845166667	1
LOC408533	-16630.981901	-16630.981901	0	AllComplex	Canon	 mitogen-activated protein kinase kinase kinase 15 	1	1
LOC408573	-2866.698403	-2866.698403	0	AllComplex	NonCanon	 eukaryotic translation initiation factor 6 	1	1
LOC408575	-4881.542644	-4881.542644	0	AllComplex	NonCanon	 DNA methyltransferase 1-associated protein 1 	1	1
LOC408592	-6445.035635	-6445.035635	0	AllComplex	NonCanon	 uncharacterized LOC408592 	1	1
LOC408597	-4361.985288	-4361.985288	0	AllComplex	NonCanon	 U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 	1	1
LOC408649	-6974.189805	-6974.189805	0	AllComplex	NonCanon	 trithorax group protein osa 	1	1
LOC408661	-9156.465513	-9156.416107	0.098812	AllComplex	NonCanon	 uncharacterized LOC408661 	0.753259965014481	1
LOC408668	-11313.256679	-11313.256679	0	AllComplex	NonCanon	 probable tyrosyl-DNA phosphodiesterase 	1	1
LOC408687	-3715.712329	-3715.074713	1.27523	AllComplex	NonCanon	 putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase 	0.258787823583964	1
LOC408717	-3369.173942	-3369.165241	0.017402	AllComplex	Canon	 sialomucin core protein 24 	0.895050226562541	1
LOC408741	-4276.751748	-4276.751748	0	AllComplex	NonCanon	 ras-related protein Rab-37 	1	1
LOC408742	-8631.943344	-8631.943344	0	AllComplex	NonCanon	 fatty-acid amide hydrolase 2-B 	1	1
LOC408748	-1994.905119	-1994.903836	0.002566	AllComplex	NonCanon	 transmembrane protein 11, mitochondrial 	0.959599877124714	1
LOC408766	-2710.228133	-2709.762674	0.930918	AllComplex	NonCanon	 phosphatidylcholine:ceramide cholinephosphotransferase 2 	0.334624496919157	1
LOC408774	-41805.394997	-41805.394997	0	AllComplex	NonCanon	 lysosomal-trafficking regulator 	1	1
LOC408785	-3382.053276	-3381.829553	0.447446	AllComplex	NonCanon	 protein-L-isoaspartate(D-aspartate) O-methyltransferase 	0.503550310146153	1
LOC408791	-15396.340676	-15395.713136	1.25508	AllComplex	NonCanon	 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II 	0.262584438187197	1
LOC408793	-11725.920601	-11725.632298	0.576606	AllComplex	NonCanon	 histone acetyltransferase KAT7 	0.447645744049114	1
LOC408804	-12014.038613	-12014.038613	0	AllComplex	NonCanon	 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 	1	1
LOC408808	-14403.149951	-14403.149951	0	AllComplex	Canon	 prosaposin 	1	1
LOC408815	-18475.291157	-18475.291157	0	AllComplex	NonCanon	 probable DNA mismatch repair protein Msh6 	1	1
LOC408819	-2230.932146	-2228.894353	4.07559	AllComplex	NonCanon	 transmembrane protein 147 	0.0435070695667171	1
LOC408827	-3171.83929	-3170.59556	2.48746	AllComplex	NonCanon	 carbonic anhydrase 1 	0.114756793757373	1
LOC408833	-3062.368225	-3062.368225	0	AllComplex	NonCanon	 uridine diphosphate glucose pyrophosphatase 	1	1
LOC408834	-4229.726915	-4229.726915	0	AllComplex	Canon	 beclin-1-like protein 	1	1
LOC408851	-1543.521472	-1543.521472	0	AllComplex	Canon	 putative cysteine proteinase CG12163 	1	1
LOC408871	-5895.322651	-5895.322651	0	AllComplex	NonCanon	 sorbitol dehydrogenase 	1	1
LOC408892	-5271.10998	-5271.10998	0	AllComplex	NonCanon	 3-ketodihydrosphingosine reductase 	1	1
LOC408906	-7500.393098	-7500.392966	0.000264	AllComplex	NonCanon	 multiple C2 and transmembrane domain-containing protein 	0.987036480768499	1
LOC408924	-6091.404608	-6091.404608	0	AllComplex	Canon	 peptidoglycan-recognition protein LC 	1	1
LOC408925	-9677.325241	-9677.232787	0.184908	AllComplex	NonCanon	 protein arginine N-methyltransferase 7 	0.667188874512983	1
LOC408955	-6712.588768	-6712.234388	0.70876	AllComplex	NonCanon	 4-aminobutyrate aminotransferase, mitochondrial 	0.399855769419253	1
LOC408971	-2076.935305	-2076.097705	1.6752	AllComplex	NonCanon	 ras-related protein Rab-3 	0.195563482477688	1
LOC408979	-5551.316909	-5551.296712	0.040394	AllComplex	NonCanon	 eukaryotic translation initiation factor 5 	0.840712190353211	1
LOC408989	-9908.385048	-9908.385048	0	AllComplex	NonCanon	 putative glycerol kinase 5 	1	1
LOC409004	-1719.289538	-1719.289538	0	AllComplex	NonCanon	 ras-related protein Rab6 	1	1
LOC409023	-5134.326043	-5134.326043	0	AllComplex	NonCanon	 methylthioribose-1-phosphate isomerase 	1	1
LOC409026	-3224.104747	-3223.828174	0.553146	AllComplex	NonCanon	 transmembrane emp24 domain-containing protein bai 	0.457035081898758	1
LOC409032	-11853.771083	-11853.771083	0	AllComplex	NonCanon	 peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase 	1	1
LOC409036	-1417.184829	-1416.586643	1.19637	AllComplex	Canon	 GTP-binding protein Rheb homolog 	0.274048407254575	1
LOC409041	-3898.692186	-3896.021182	5.34201	AllComplex	NonCanon	 transmembrane protein 115 	0.0208174565483616	1
LOC409055	-4805.297193	-4805.297193	0	AllComplex	Canon	 V-type proton ATPase subunit H 	1	1
LOC409068	-4634.574404	-4634.574404	0	AllComplex	NonCanon	 annexin B11 	1	1
LOC409098	-13358.173233	-13358.119878	0.10671	AllComplex	NonCanon	 histone-lysine N-methyltransferase eggless 	0.743921300851928	1
LOC409103	-4360.059184	-4360.059051	0.000266	AllComplex	NonCanon	 protoheme IX farnesyltransferase, mitochondrial 	0.98698747351618	1
LOC409125	-17245.877238	-17245.877238	0	AllComplex	Canon	 mitogen-activated protein kinase kinase kinase 4 	1	1
LOC409157	-7968.7795	-7968.750308	0.058384	AllComplex	NonCanon	 succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial 	0.809068568926787	1
LOC409165	-5608.524632	-5608.524632	0	AllComplex	Canon	 calreticulin 	1	1
LOC409179	-5772.856399	-5772.848621	0.015556	AllComplex	NonCanon	 4-hydroxybutyrate coenzyme A transferase 	0.900742298278496	1
LOC409180	-6512.894813	-6512.894813	0	AllComplex	NonCanon	 4-hydroxybutyrate coenzyme A transferase-like 	1	1
LOC409189	-5527.296029	-5527.296029	0	AllComplex	NonCanon	 growth hormone-inducible transmembrane protein 	1	1
LOC409196	-7741.019154	-7740.092698	1.85291	AllComplex	NonCanon	 alanine aminotransferase 1 	0.173445323107432	1
LOC409201	-1889.523196	-1888.139889	2.76661	AllComplex	NonCanon	 acyl-protein thioesterase 1 	0.0962498059873068	1
LOC409203	-8520.058004	-8520.048721	0.018566	AllComplex	NonCanon	 UDP-glucuronosyltransferase 2A3 	0.891618028922274	1
LOC409226	-7896.607922	-7896.607922	0	AllComplex	Canon	 FAS-associated factor 1 	1	1
LOC409245	-4571.567849	-4571.475893	0.183912	AllComplex	NonCanon	 beta-1,4-glucuronyltransferase 1 	0.668032662808195	1
LOC409249	-13659.187141	-13659.187141	0	AllComplex	NonCanon	 uncharacterized LOC409249 	1	1
LOC409260	-6621.161612	-6621.161612	0	AllComplex	NonCanon	 short-chain dehydrogenase/reductase family 16C member 6 	1	1
LOC409263	-3953.062591	-3953.062591	0	AllComplex	NonCanon	 glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 	1	1
LOC409265	-7542.449523	-7542.162019	0.575008	AllComplex	NonCanon	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A 	0.448275704993697	1
LOC409270	-5555.550077	-5555.54292	0.014314	AllComplex	NonCanon	 glycerol-3-phosphate acyltransferase 4 	0.904767436644463	1
LOC409271	-24407.269286	-24407.269286	0	AllComplex	NonCanon	 mediator of RNA polymerase II transcription subunit 12 	1	1
LOC409286	-3542.263463	-3540.646921	3.23308	AllComplex	Canon	 stress-activated protein kinase JNK 	0.0721648460306643	1
LOC409292	-4085.639291	-4079.694367	11.8898	AllComplex	NonCanon	 probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial 	0.00056442181784774	0.590385221468737
LOC409308	-763.917338	-763.917338	0	AllComplex	NonCanon	 small ubiquitin-related modifier 	1	1
LOC409320	-3029.83676	-3029.83676	0	AllComplex	NonCanon	 leucine carboxyl methyltransferase 1 	1	1
LOC409329	-3774.852754	-3774.842658	0.020192	AllComplex	NonCanon	 mannose-1-phosphate guanyltransferase beta 	0.887002157684952	1
LOC409334	-9976.554036	-9976.554036	0	AllComplex	Canon	 beta-mannosidase 	1	1
LOC409336	-3558.765789	-3554.802159	7.92726	AllComplex	Canon	 sialin 	0.0048695482394536	1
LOC409341	-5693.662995	-5693.662995	0	AllComplex	Canon	 lysosomal aspartic protease 	1	1
LOC409361	-2637.618142	-2637.618142	0	AllComplex	NonCanon	 dopamine N-acetyltransferase 	1	1
LOC409365	-14228.24786	-14228.233518	0.028684	AllComplex	Canon	 lysosomal alpha-glucosidase 	0.865510720201793	1
LOC409373	-3671.275384	-3671.268593	0.013582	AllComplex	NonCanon	 transmembrane protein 184B 	0.907223130066782	1
LOC409377	-7276.142481	-7263.973955	24.3371	AllComplex	NonCanon	 transitional endoplasmic reticulum ATPase TER94 	8.08664710732184e-07	0.000852332605111722
LOC409386	-1132.587832	-1132.587832	0	AllComplex	Canon	 ubiquitin-conjugating enzyme E2 N 	1	1
LOC409388	-3110.711909	-3110.711909	0	AllComplex	NonCanon	 ras-related protein Rab-18-B 	1	1
LOC409393	-26677.510319	-26676.590863	1.83891	AllComplex	Canon	 serine/threonine-protein kinase mTOR 	0.175078755653906	1
LOC409410	-5474.509873	-5473.051622	2.9165	AllComplex	NonCanon	 plasminogen activator inhibitor 1 RNA-binding protein 	0.087677852322403	1
LOC409411	-3601.156253	-3601.156253	0	AllComplex	NonCanon	 transmembrane protein 41 homolog 	1	1
LOC409427	-4578.873697	-4578.873697	0	AllComplex	NonCanon	 peptidyl-prolyl cis-trans isomerase E 	1	1
LOC409441	-4700.496458	-4699.959491	1.07393	AllComplex	NonCanon	 transmembrane protein 53 	0.300059436148902	1
LOC409465	-71.878313	-68.636062	6.4845	AllComplex	NonCanon	 uncharacterized LOC409465 	0.0108819143724619	1
LOC409488	-3473.609985	-3473.594274	0.031422	AllComplex	NonCanon	 protein-L-isoaspartate(D-aspartate) O-methyltransferase 	0.859302191456365	1
LOC409491	-4488.343726	-4488.343726	0	AllComplex	NonCanon	 transmembrane protein 183B 	1	1
LOC409495	-4292.565196	-4292.565196	0	AllComplex	Canon	 lysosome-associated membrane glycoprotein 1 	1	1
LOC409499	-4250.453692	-4250.153073	0.601238	AllComplex	NonCanon	 UDP-glucose 4-epimerase 	0.438106062479859	1
LOC409511	-3877.758046	-3877.756781	0.00253	AllComplex	NonCanon	 tetraspanin-1 	0.959884036688519	1
LOC409520	-2976.716295	-2976.716295	0	AllComplex	NonCanon	 glucosamine-6-phosphate isomerase 	1	1
LOC409523	-3504.000336	-3504.000336	0	AllComplex	Canon	 mitogen-activated protein kinase 1 	1	1
